,21706894,21505186,21712798,20144769,21507122,21502642,21705472,21000002,21712227,21507151,21708799,21507879,21506945,21710720,21506961,21506147,21503233,21712091,21707432,21503981,21404529,21500572,20134250,21712084,21513144,21000001,21708325,21602558,20140777,21707228,21502689,21504350,21710385,21504427,21500179,20140524,21507221,21501136,21505282,21703318
21503233,AB,AR,AB,TB,P,P,AB,AB,TB,AB,I,AR,AB,AR,P,B,-1,B,AR,TB,AR,TB,TB,I,AB,TB,AR,TB,I,AB,I,TB,I,AB,B,AR,B,B,TB,I
21712091,B,B,I,B,B,AR,P,AR,AB,TB,AR,P,AB,AB,I,B,P,-1,I,P,P,TB,AR,I,P,TB,AR,TB,B,P,TB,I,TB,I,AR,AR,I,TB,AB,I
21707432,B,TB,B,TB,AR,B,P,AR,I,AR,B,I,P,P,AR,B,TB,I,-1,P,AR,TB,AB,AR,B,P,P,B,AB,P,B,AR,AB,AB,AB,AR,B,B,AB,P
21503981,P,I,B,P,P,B,TB,P,TB,AR,AB,P,AR,AB,I,TB,B,AR,TB,-1,AR,I,TB,I,I,TB,B,B,AR,TB,B,TB,I,AR,TB,AB,P,TB,P,AR
21404529,TB,P,TB,B,TB,I,AR,P,I,I,TB,AR,I,TB,B,P,AR,AR,P,I,-1,P,AB,I,AB,B,AB,TB,B,P,TB,B,B,I,TB,B,AR,AR,P,AB
21500572,P,P,AB,I,P,B,AB,AR,TB,B,I,TB,AR,P,AR,TB,I,B,P,P,AR,-1,B,B,AB,B,I,B,TB,TB,TB,B,P,P,I,AB,TB,AR,B,I
20134250,P,I,B,I,TB,I,P,I,AR,B,I,TB,I,AB,B,P,B,B,B,AR,AB,B,-1,B,I,I,AR,TB,AR,AB,AB,P,AR,B,TB,TB,P,AB,I,P
21712084,I,AR,B,AR,AB,B,I,P,P,AB,AR,TB,I,AB,B,P,TB,I,AR,I,TB,TB,P,-1,AR,P,I,B,TB,AB,P,I,P,I,P,P,AR,I,AR,AB
21513144,TB,B,B,TB,AB,P,AB,AB,AB,TB,AR,I,AR,AB,TB,B,AB,AB,TB,TB,I,P,AR,AR,-1,P,B,AR,P,I,P,TB,TB,I,I,AR,P,TB,P,AB
21000001,AB,AB,TB,TB,I,B,AB,AB,AB,AB,B,B,P,P,TB,P,P,I,B,AB,I,B,TB,AR,TB,-1,AB,TB,P,I,AB,AR,I,AR,P,B,B,AR,AR,TB
21708325,B,B,B,B,P,B,AR,B,I,B,B,I,I,P,AB,AB,B,B,TB,AB,B,AB,B,AR,AR,AB,-1,B,TB,TB,AR,AR,B,I,B,B,AB,I,AR,AR
21602558,B,P,TB,AR,TB,TB,AR,B,AB,AB,B,P,TB,P,TB,AB,AR,TB,AR,I,AR,AB,AB,TB,B,B,P,-1,AR,P,TB,B,P,TB,I,B,AR,I,TB,AR
20140777,AB,AR,I,P,TB,I,I,P,B,AR,B,B,TB,I,AB,P,B,AB,I,I,B,B,AB,TB,B,TB,AB,P,-1,P,B,P,I,P,P,TB,AB,I,P,I
21707228,AB,I,TB,AB,AR,I,P,I,P,B,AB,I,I,TB,I,B,P,AB,AB,P,AB,I,I,AB,AR,B,P,AB,TB,-1,I,B,I,I,I,I,I,TB,AR,AR
21502689,I,P,B,AB,B,AR,I,I,B,P,P,P,B,B,I,P,B,AB,B,I,AB,P,B,AB,TB,AR,P,AB,AR,I,-1,AB,I,AB,AR,B,P,AB,TB,B
21504350,B,P,AB,P,AB,I,AR,AB,I,P,TB,B,I,B,TB,AB,TB,I,B,AR,AB,B,AR,AR,I,AR,AR,AB,P,TB,AB,-1,B,TB,TB,P,AB,B,TB,TB
21710385,AB,AB,I,AB,I,P,TB,B,P,TB,TB,AB,I,TB,AR,B,B,TB,I,B,B,B,TB,P,TB,B,I,P,I,AR,AR,B,-1,AR,I,P,I,AB,TB,AR
21504427,AR,AB,P,AR,AR,I,P,B,AB,AR,AR,B,TB,B,AR,P,P,I,TB,AB,AB,AR,I,P,TB,AB,I,AR,TB,P,P,I,AB,-1,AB,AB,P,B,P,TB
21500179,AR,AR,AR,B,I,AB,AR,I,AB,P,P,AB,TB,AR,I,I,AB,I,B,AB,AR,AR,TB,I,TB,P,AR,P,AB,P,I,P,TB,AB,-1,B,I,P,AB,AR
20140524,I,TB,P,TB,P,TB,B,P,I,I,TB,AR,TB,I,B,I,I,AB,I,I,AR,AR,AR,I,AB,B,P,AB,AB,TB,B,P,P,I,TB,-1,I,AB,B,I
21507221,B,AB,I,AR,AR,TB,I,AB,B,TB,AB,B,P,B,B,AR,TB,I,P,B,AB,P,AR,B,B,TB,P,I,AR,B,P,AB,AB,B,AB,I,-1,I,I,I
21501136,AR,B,TB,B,TB,B,AR,AB,AB,P,I,P,B,AR,TB,I,AR,B,B,AR,B,I,AB,B,I,P,AB,I,P,I,P,P,P,I,AB,P,B,-1,AB,AB
21505282,AR,B,AR,AR,I,I,P,I,TB,TB,P,I,I,I,AB,AB,AB,AR,I,I,P,TB,AB,AR,AR,AR,I,AB,I,AB,TB,B,I,AB,AB,AR,I,AR,-1,I
21703318,P,AR,TB,AR,I,AR,AR,AR,TB,AR,TB,I,AB,AB,B,TB,B,AR,TB,P,AR,AB,I,TB,AR,B,I,I,AR,AR,I,I,B,TB,I,AB,P,AB,I,-1
